Name;Date;Fraktion;Policy_area_1;Policy_area_2;Policy_area_3;Policy_area_4;Policy_area_5;Policy_area_6;Policy_area_7;Yes_party;No_party;Abstain_party;Absent_party;Yes_share;Party_yes;Opposition;Gov_votes;Gov_Yes;Date_new;Week;Month;Quarter;Year;Corona;Corona_dur
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;FDP;Verteidigung;NA;NA;NA;NA;NA;NA; 74;  0;  0; 6;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;AfD;Verteidigung;NA;NA;NA;NA;NA;NA;  0; 80;  0;11;0,00000000; 0;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;SPD;Verteidigung;NA;NA;NA;NA;NA;NA;130;  3;  0;20;0,97744361; 1;FALSE;2;1;2018-04-26;17; 4;2;2018;0;-675
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;AfD;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0; 80;  0;12;0,00000000; 0;TRUE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;CDU/CSU;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;211; 12;  0;16;0,94618834; 1;FALSE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;SPD;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;138;  0;  0;15;1,00000000; 1;FALSE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;DIE GRÜNEN;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA; 60;  0;  0; 7;1,00000000; 1;TRUE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;DIE LINKE;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0; 57;  0;12;0,00000000; 0;TRUE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;FDP;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0; 75;  0; 5;0,00000000; 0;TRUE;2;1;2018-06-29;26; 6;2;2018;0;-611
Abschließende Finanzhilfen für Griechenland;29. Juni 2018;fraktionslos;Außenpolitik und internationale Beziehungen; Europapolitik und Europäische Union; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;  2;  0; 0;0,00000000; 0;TRUE;2;1;2018-06-29;26; 6;2;2018;0;-611
Änderung des Bundeswahlgesetzes;08. Oktober 2020;AfD;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;  0;158;  0;20;0,00000000; 0;TRUE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;CDU/CSU;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;454;  0;  2;24;1,00000000; 1;FALSE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;DIE GRÜNEN;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;  0;128;  0; 6;0,00000000; 0;TRUE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;DIE LINKE;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;  0;114;  0;24;0,00000000; 0;TRUE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;FDP;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;  0;154;  0; 6;0,00000000; 0;TRUE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;fraktionslos;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;  0;  8;  0; 2;0,00000000; 0;TRUE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Bundeswahlgesetzes;08. Oktober 2020;SPD;Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;NA;270;  0;  0;34;1,00000000; 1;FALSE;2;1;2020-10-08;41;10;4;2020;1;221
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;AfD;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;  0;158;  0;18;0,00000000; 0;TRUE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;fraktionslos;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;  2;  0;  0; 0;1,00000000; 1;TRUE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;SPD;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;288;  0;  0;16;1,00000000; 1;FALSE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;FDP;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;154;  0;  0; 6;1,00000000; 1;TRUE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;CDU/CSU;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;462;  8;  0;20;0,98297872; 1;FALSE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;DIE GRÜNEN;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;126;  0;  0; 8;1,00000000; 1;TRUE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Grundgesetzes - Bildung, Bau und Verkehr;29. November 2018;DIE LINKE;Innere Angelegenheiten; Parlamentsangelegenheiten; Recht;NA;NA;NA;NA;124;  0;  0;14;1,00000000; 1;TRUE;2;1;2018-11-29;48;11;4;2018;0;-458
Änderung des Marktorganisationsgesetzes;21. März 2019;AfD;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;160;  0;  0;16;1,00000000; 1;TRUE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;CDU/CSU;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;460;  0;  0;30;1,00000000; 1;FALSE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;DIE GRÜNEN;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;114;  0;  0;20;1,00000000; 1;TRUE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;DIE LINKE;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;120;  0;  0;18;1,00000000; 1;TRUE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;FDP;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;142;  0;  0;18;1,00000000; 1;TRUE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;fraktionslos;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;  2;  0;  0; 4;1,00000000; 1;TRUE;2;1;2019-03-21;12; 3;1;2019;0;-346
Änderung des Marktorganisationsgesetzes;21. März 2019;SPD;Außenwirtschaft; Öffentliche Finanzen; Steuern und Abgaben; Staat und Verwaltung;NA;NA;NA;280;  0;  0;20;1,00000000; 1;FALSE;2;1;2019-03-21;12; 3;1;2019;0;-346
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;AfD;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0; 85;  0; 7;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;fraktionslos;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0;  2;  0; 0;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;SPD;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;132;  9;  0; 9;0,93617021; 1;FALSE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;CDU/CSU;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;227;  0;  0;18;1,00000000; 1;FALSE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;DIE GRÜNEN;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0; 64;  0; 3;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;DIE LINKE;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0; 55;  0;14;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Anti-IS-Einsatz der Bundeswehr im Irak;22. März 2018;FDP;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0;  3; 72; 2;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;AfD;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;  1; 27; 49;11;0,03571429; 0;TRUE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;fraktionslos;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;  0;  0;  1; 3;NA;NA;TRUE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;SPD;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;130;  8;  0;14;0,94202899; 1;FALSE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;DIE GRÜNEN;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;  0; 63;  0; 4;0,00000000; 0;TRUE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;DIE LINKE;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;  0; 61;  0; 8;0,00000000; 0;TRUE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;FDP;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;  7;  0; 54;15;1,00000000; 1;TRUE;2;1;2019-06-07;23; 6;2;2019;0;-268
Asyl- und Aufenthaltsrecht: Durchsetzung der Ausreisepflicht ;07. Juni 2019;CDU/CSU;Außenpolitik und internationale Beziehungen; Ausländerpolitik; Zuwanderung;NA;NA;NA;NA;233;  0;  0;13;1,00000000; 1;FALSE;2;1;2019-06-07;23; 6;2;2019;0;-268
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;DIE LINKE;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0; 39;  5;21;0,00000000; 0;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;FDP;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  1; 67;  0;12;0,01470588; 0;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;SPD;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;127;  0;  0;25;1,00000000; 1;FALSE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;CDU/CSU;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;209;  6;  2;26;0,97209302; 1;FALSE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;DIE GRÜNEN;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA; 58;  0;  0; 9;1,00000000; 1;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;fraktionslos;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0;  0;  1; 3;NA;NA;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Albanien;26. September 2019;AfD;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0; 76;  1;14;0,00000000; 0;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;AfD;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0; 76;  1;14;0,00000000; 0;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;CDU/CSU;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;223;  0;  1;22;1,00000000; 1;FALSE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;DIE GRÜNEN;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA; 58;  0;  0; 9;1,00000000; 1;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;DIE LINKE;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0; 38;  4;21;0,00000000; 0;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;FDP;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA; 57;  8;  3;12;0,87692308; 1;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;fraktionslos;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;  0;  0;  0; 3;NA;NA;TRUE;2;1;2019-09-26;39; 9;3;2019;0;-157
Aufnahme von EU-Beitrittsverhandlungen mit Nordmazedonien;26. September 2019;SPD;Europapolitik und Europäische Union;NA;NA;NA;NA;NA;NA;127;  0;  0;25;1,00000000; 1;FALSE;2;1;2019-09-26;39; 9;3;2019;0;-157
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;AfD;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;  1;  0; 71;13;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;CDU/CSU;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;222;  0;  0;24;1,00000000; 1;FALSE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;DIE GRÜNEN;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA; 62;  0;  1; 4;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;DIE LINKE;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA; 56;  0;  0;13;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;FDP;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA; 71;  0;  0; 9;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;fraktionslos;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;  2;  0;  0; 0;1,00000000; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausschluss der NPD von der Parteienfinanzierung;26. April 2018;SPD;Innere Sicherheit; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;134;  0;  0;19;1,00000000; 1;FALSE;2;1;2018-04-26;17; 4;2;2018;0;-675
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;DIE LINKE;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0; 55;  0;14;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;SPD;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;131;  8;  1;12;0,94244604; 1;FALSE;2;1;2018-03-22;12; 3;1;2018;0;-710
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;CDU/CSU;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;222;  0;  0;24;1,00000000; 1;FALSE;2;1;2018-03-22;12; 3;1;2018;0;-710
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;FDP;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA; 76;  0;  0; 2;1,00000000; 1;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;fraktionslos;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0;  2;  0; 0;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan;22. März 2018;AfD;Außenpolitik und internationale Beziehungen; Verteidigung;NA;NA;NA;NA;NA;  0; 82;  0;10;0,00000000; 0;TRUE;2;1;2018-03-22;12; 3;1;2018;0;-710
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;DIE LINKE;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0; 60;  0; 9;0,00000000; 0;TRUE;2;1;2019-06-06;23; 6;2;2019;0;-269
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;FDP;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;  0; 73; 5;NA;NA;TRUE;2;1;2019-06-06;23; 6;2;2019;0;-269
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;DIE GRÜNEN;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;  0; 60; 2;NA;NA;TRUE;2;1;2019-06-06;23; 6;2;2019;0;-269
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;AfD;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA; 79;  1;  0;11;0,98750000; 1;TRUE;2;1;2019-06-06;23; 6;2;2019;0;-269
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;CDU/CSU;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;231;  0;  0;15;1,00000000; 1;FALSE;2;1;2019-06-06;23; 6;2;2019;0;-269
Bekämpfung illegaler Beschäftigung verstärken;06. Juni 2019;SPD;Arbeit und Beschäftigung; Innere Angelegenheiten; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;138;  0;  0;14;1,00000000; 1;FALSE;2;1;2019-06-06;23; 6;2;2019;0;-269
Beteiligung am Europäischen Corona-Stabilitätsmechanismus;14. Mai 2020;AfD;Europapolitik und Europäische Union; Gesundheit; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;160;  0;18;0,00000000; 0;TRUE;2;1;2020-05-14;20; 5;2;2020;1;74
Beteiligung am Europäischen Corona-Stabilitätsmechanismus;14. Mai 2020;CDU/CSU;Europapolitik und Europäische Union; Gesundheit; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;450;  8;  0;34;0,98253275; 1;FALSE;2;1;2020-05-14;20; 5;2;2020;1;74
Beteiligung am Europäischen Corona-Stabilitätsmechanismus;14. Mai 2020;DIE GRÜNEN;Europapolitik und Europäische Union; Gesundheit; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;118;  0;  0;16;1,00000000; 1;TRUE;2;1;2020-05-14;20; 5;2;2020;1;74
Beteiligung am Europäischen Corona-Stabilitätsmechanismus;14. Mai 2020;DIE LINKE;Europapolitik und Europäische Union; Gesundheit; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;  0; 98;26;NA;NA;TRUE;2;1;2020-05-14;20; 5;2;2020;1;74
Beteiligung am Europäischen Corona-Stabilitätsmechanismus;14. Mai 2020;FDP;Europapolitik und Europäische Union; Gesundheit; Öffentliche Finanzen; Steuern und Abgaben;NA;NA;NA;  0;  2;150; 8;0,00000000; 0;TRUE;2;1;2020-05-14;20; 5;2;2020;1;74
